Patent,PC,Normalized Assignee,Family ID,Grouping,Priority Date,Priority Year,Est. Expiration Date,Title,Abstract,First Claim Word Count,PatentStrength,HML,Notes
8432800,PC,"Citrix Systems, Inc.",39760775,Intermediary Devices/Network Traffic|Intermediary Devices/Network Packets|Intermediary Devices/Detecting Transaction,7/29/2003,2003,7/15/2027,Systems and methods for stochastic-based quality of service,Systems and methods for utilizing transaction boundary detection methods in queuing and retransmission decisions relating to network traffic are described. By detecting transaction boundaries and sizes a client server or intermediary device may prioritize based on transaction sizes in queuing decisions giving precedence to smaller transactions which may represent interactive and/or latency-sensitive traffic. Further after detecting a transaction boundary a device may retransmit one or more additional packets prompting acknowledgements in order to ensure timely notification if the last packet of the transaction has been dropped. Systems and methods for potentially improving network latency including retransmitting a dropped packet twice or more in order to avoid incurring additional delays due to a retransmitted packet being lost are also described.,177,93,,
8775944,PC,"Citrix Systems, Inc.",41449133,Graphical User Interface/User Interface Element,6/26/2008,2008,1/23/2031,Methods and systems for interactive evaluation of policies,A system for interactive evaluation of policies includes a first graphical user interface element and a second graphical user interface element. The first graphical user interface element enumerates at least one resource. The second graphical user interface element receives an identification of a characteristic of at least one client and displays a result of an application of at least one policy associated with the at least one resource to the at least one client the at least on policy applied responsive to the received identification of the characteristic.,323,92,,
8341732,PC,"Citrix Systems, Inc.",40572801,Virtual Machine/Computing Environment,1/24/2006,2006,5/7/2030,"Methods and systems for selecting a method for execution, by a virtual machine, of an application program",A method for selecting a method of execution for an application includes the step of receiving credentials. A plurality of applications available to a client machine is enumerated responsive to the received credentials. A request to execute an enumerated application is received. One of a predetermined number of methods for executing the requested application is selected responsive to a policy the predetermined number of methods including a method for executing the requested application in a computing environment provided by a virtual machine.,201,92,,
7698453,PC,"Citrix Systems, Inc.",46302423,Other Topics,7/29/2003,2003,11/4/2026,Early generation of acknowledgements for flow control,One or more flow control modules implemented on various types of network topologies provide a number of functionalities for controlling the flow of IP packets (such as TCP/IP packets) over a network connection. The flow control modules may be implemented within a sender and/or receiver or may be deployed into a network as a separate device without requiring significant additional resources.,189,92,,
7500262,PC,"Citrix Systems, Inc.",40385496,Other Topics,4/29/2002,2002,11/15/2024,Implementing single sign-on across a heterogeneous collection of client/server and web-based applications,Leveraging an established authenticated session in obtaining authentication to a client application includes receiving a request for access to a client application requiring authentication of a requestor and determining whether there exist characteristics of leverageable authentications corresponding to established sessions having an authenticated state at a time of the determination. When the determination reveals characteristics of at least one leverageable authentication corresponding to an established session and attempt is made to obtain access for the requester to the client application based on the at least one leverageable authentication and the requestor is provided with a notification related to the attempt to obtain access for the requester to the client application.,687,92,,
7996814,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments|Software Application/State Metrics|Software Application/Data Values,12/21/2004,2004,8/13/2029,Application model for automated management of software application deployments,A system for managing a deployment of a software application is disclosed. The system includes a telemetry component that collects data values of state metrics associated with the deployment an application model that represents the deployment a repository of encoded knowledge describing known problems associated with the software application and an analysis subsystem that programmatically maps logical combinations of features associated with the deployment to known problems. The application model includes a representation of physical and logical objects in a domain of the deployment and configuration data about the objects. The analysis subsystem is adapted to query the application model for information about the deployment. The application model can implement a discovery process to construct itself by using an abstract model of a generalized deployment of the software application the discovery process including obtaining information from the managed deployment.,395,92,,
8001527,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments,12/21/2004,2004,10/23/2028,Automated root cause analysis of problems associated with software application deployments,Computer systems and methods are disclosed for managing a deployment of a software application. One system includes an application model describing the deployment the application model comprising a representation of physical and logical objects in a domain of the deployment configuration data about the objects and information about relationships between the objects. The system also includes a root cause analysis module configured to identify one or more problematic objects of the application model and to use pattern-recognition on the application model to find root cause candidates that may be a root cause of one or more problems associated with the problematic objects. The root cause analysis module can be further configured to apply diagnostic unit tests on one or more objects associated with the root cause candidates the diagnostic unit tests configured to narrow down a list of possible root causes of the problems. Various pattern-recognition techniques are disclosed including looking for recent property or configurational changes in the application model clustering of problematic objects examining links between objects in the application model comparisons between pairs of non-problematic objects as well as between problematic objects and non-problematic objects temporal comparisons of the state of the application model and examining objects that are near the problematic objects in the application model.,308,92,,
8291108,PC,"Citrix Systems, Inc.",39760351,Other Topics,3/12/2007,2007,11/5/2029,Systems and methods for load balancing based on user selected metrics,The present invention provides improvements to load balancing by providing a load balancing solution that allows a user to select metrics weights and thresholds from metrics collected or determined by a load balancing appliance as well as metrics obtained from another device such as a server running the service. The systems and methods described providing a load balancing technique in which load balancing decisions can be made based on metrics known by another device monitoring such metrics. The load balancing appliance uses a network management protocol and communication model such as a Simple Network Management Protocol (SNMP) to identify and collect metrics from a server service or other device. These metrics are available on the load balancing appliance with appliance determined metrics. Via a configuration interface of the appliance a user can select one or more appliance determined metrics and/or the metrics obtained via the network management protocol to determine the load of a service.,230,92,,
7954090,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments|Software Application/State Metrics|Software Application/Data Values,12/21/2004,2004,2/25/2030,Systems and methods for detecting behavioral features of software application deployments for automated deployment management,A system for monitoring and analyzing a deployment of a software application is disclosed. The system includes a monitoring component that collects streams of data values of time-variant state metrics associated with the deployment and a feature detector that analyzes the streams to identify features known to be associated with potential problems. Detected features can include deviations of a signal from a normalcy band a rising or descending trend in signal behavior deviations from seasonal or cyclical normalcy bands and the like.,249,92,,
8370420,PC,"Citrix Systems, Inc.",47604699,Other Topics,7/11/2002,2002,5/13/2025,Web-integrated display of locally stored content objects,A method and apparatus for displaying locally stored content objects is disclosed. In one embodiment the method comprises running an agent on a machine and integrating one or more locally stored objects in a page being displayed using information from the agent.,470,92,,
8769522,PC,"Citrix Systems, Inc.",39102550,Other Topics,8/21/2006,2006,11/30/2030,Systems and methods of installing an application without rebooting,A method for automatically changing a version of a client agent for a non-administrative user account without rebooting the user's machine uses a service having installation privileges. The service executes on the client and installs a client agent. The client agent communicates with a network appliance. The client agent detects a difference between its version and a version of the client agent identified by the network appliance. The agent signals the service that it has detected the difference and in response the service executes an installation program that installs without rebooting the client the version of the client agent identified by the appliance. A corresponding system is also described.,376,92,,
7924884,PC,"Citrix Systems, Inc.",38173407,Directed Towards/Other Topics,12/20/2005,2005,8/18/2028,Performance logging using relative differentials and skip recording,The present invention is directed towards “skip” and “differential” recording techniques for recording values of network parameter to a log in a lossless manner while reducing storage resources used to record such values. The counter monitor of the present invention monitors and records values of counters at time intervals to generate a counter log provided via temporary or permanent storage. The counter monitor compares a reading of the value of the counter to a previously obtained value of the counter. If the value of the counter has not changed the counter monitor records only the timestamp to the counter log thereby “skipping” the recording of the unchanged value. If there is any change in the value of the counter then the change in value of the counter i.e. a “differential” value along with the timestamp is stored in the counters log. To further reduce storage resource usage the counter monitor also stores changes to the timestamps as differential changes in time values.,180,92,,
8561148,PC,"Citrix Systems, Inc.",41449132,Graphical User Interface/Other Topics,6/26/2008,2008,3/14/2031,"Methods and systems for interactive evaluation using dynamically generated, interactive resultant sets of policies",A method for interactive policy evaluation using dynamically generated interactive resultant sets of policies includes the step of receiving by a graphical user interface at least one of: a description of a client requesting access to a resource a description of the resource and a description of a method of access requested by the client. The graphical user interface displays at least one policy applicable to the client request for access to the resource. The graphical user interface displays a decision made by applying the at least one policy to the received description.,247,92,,
8191008,PC,"Citrix Systems, Inc.",37903320,Other Topics,10/3/2005,2005,12/10/2027,Simulating multi-monitor functionality in a single monitor environment,The systems and methods of the present provide techniques for virtualizing simulating or providing multiple displays for an environment having one display device or less display devices than desired. The techniques of the present invention virtualize a client's display environment by modifying and controlling the behavior and appearance of an application window displayed on the client based on a desired display layout for the client. The present invention provides a window message processing mechanism to intercept a selected message to a window of an application. The window message processing mechanism compares the behavior and appearance of the window in view of the desired display layout and modifies the message to display the window on the client based on the desired display layout. As such the present invention processes selected window messages to translate the behavior or appearance of the window to the desired display layout.,305,92,,
8117314,PC,"Citrix Systems, Inc.",40572801,Virtual Machine/Computing Environment|Remote Access/Other Topics|Remote Machine/Computing Environment|Remote Machine/Step of Requesting,1/24/2006,2006,4/5/2029,Methods and systems for providing remote access to a computing environment provided by a virtual machine,A method for providing remote access to a computer environment provided by a virtual machine includes the step of receiving authentication information associated with a user of a client machine. Based on the received authentication information a computer environment provided by a virtualized operating system and already associated with the user is identified. A connection is established between the client machine and the identified computing environment.,158,92,,
7865888,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments|Software Application/State Metrics,12/21/2004,2004,7/28/2029,Systems and methods for gathering deployment state for automated management of software application deployments,Systems and methods for obtaining information about a deployment of a software application are disclosed. One system comprises a plurality of deployment servers running components of the software application deployment a plurality of monitors associated with the deployment servers and an analysis subsystem that generates requests for state metrics from the deployment based on rules describing known problems with the software application. The analysis subsystem transmits each request for state metrics to a monitor associated with a deployment server that is associated with the request. The monitors are configured to receive the requests for state metrics from the analysis subsystem and collect the state metrics from one of the components of the software application deployment. The monitors which can reside on the deployment servers or locally with respect to the analysis subsystem can transmit the collected state metrics back to the analysis subsystem. An application model storing a representation of objects of the deployment can also be provided wherein the analysis subsystem queries the application model for deployment information necessary to transmit the requests for state metrics to appropriate ones of the monitors. The monitors can be configured to conduct post-processing of collected state metrics and also to prevent redundant collection.,345,92,,
7870550,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments|Software Application/State Metrics,12/21/2004,2004,9/10/2029,Systems and methods for automated management of software application deployments,Systems and methods for managing a deployment of a software application are disclosed. One system comprises a machine-readable repository of rules describing problems associated with the software application a monitoring component that collects state metrics from the deployment and a problem detector that programmatically uses the rules to map combinations of the collected state metrics to problems.,207,92,,
7630305,PC,"Citrix Systems, Inc.",46302425,Data Packets/Communications Network|Data Packets/Network Connection,7/29/2003,2003,11/27/2025,Tcp selective acknowledgements for communicating delivered and missed data packets,One or more flow control modules implemented on various types of network topologies provide a number of functionalities for controlling the flow of IP packets (such as TCP/IP packets) over a network connection. The flow control modules may be implemented within a sender and/or receiver or may be deployed into a network as a separate device without requiring significant additional resources.,243,92,,
8694684,PC,"Citrix Systems, Inc.",39102684,Data Packets/Data Streams|Data Packets/Communications Network|Data Packets/Network Connection|Data Packets/Intercepting|Virtual Server/Virtual Private Network|Virtual Server/Intercepting|Private Networks/Data Communication Network|Transport Layer Connection/Virtual Private Network|Transport Layer Connection/Transport Layer Protocol,8/21/2006,2006,11/26/2029,Systems and methods of symmetric transport control protocol compression,A method for compressing a stream of application layer network traffic communicated over a transport layer connection of a virtual private network connection between a client and a server using an appliance. The appliance intercepts one or more transport layer packets of a stream of application network traffic communicated via a transport layer connection of a virtual private network connection between a client and a server. The appliance accumulates data from a payload of the intercepted transport layer packets determines data accumulated for transmission should be compressed based on one or more compression trigger and compresses the accumulated data into a self-contained compression block for transmission.,448,92,,
7616638,PC,"Citrix Systems, Inc.",46302424,Other Topics,7/29/2003,2003,11/3/2025,Wavefront detection and disambiguation of acknowledgments,One or more flow control modules implemented on various types of network topologies provide a number of functionalities for controlling the flow of IP packets (such as TCP/IP packets) over a network connection. The flow control modules may be implemented within a sender and/or receiver or may be deployed into a network as a separate device without requiring significant additional resources.,174,92,,
8103783,PC,"Citrix Systems, Inc.",39763829,Intermediary Devices/Network Traffic|IP Address/Network Traffic|IP Address/Cases the Present,3/12/2007,2007,10/12/2028,Systems and methods of providing security and reliability to proxy caches,The present solution provides a variety of techniques for accelerating and optimizing network traffic such as HTTP based network traffic. The solution described herein provides techniques in the areas of proxy caching protocol acceleration domain name resolution acceleration as well as compression improvements. In some cases the present solution provides various prefetching and/or prefreshening techniques to improve intermediary or proxy caching such as HTTP proxy caching. In other cases the present solution provides techniques for accelerating a protocol by improving the efficiency of obtaining and servicing data from an originating server to server to clients. In another cases the present solution accelerates domain name resolution more quickly. As every HTTP access starts with a URL that includes a hostname that must be resolved via domain name resolution into an IP address the present solution helps accelerate HTTP access. In some cases the present solution improves compression techniques by prefetching non-cacheable and cacheable content to use for compressing network traffic such as HTTP. The acceleration and optimization techniques described herein may be deployed on the client as a client agent or as part of a browser as well as on any type and form of intermediary device such as an appliance proxying device or any type of interception caching and/or proxying device.,247,92,,
8108525,PC,"Citrix Systems, Inc.",38776235,Private Networks/Network Session,8/3/2006,2006,10/21/2027,Systems and methods for managing a plurality of user sessions in a virtual private network environment,Methods for establishing an SSL/VPN session on behalf of a user of a client where the user has a previously existing session are described. Methods include receiving by an appliance a request from a first client operated by a user to establish a virtual private network session; creating by the appliance a temporary virtual private network session with the client; identifying by the appliance an existing virtual private network session previously established on behalf of the user; terminating the previous session; and creating a new virtual private network session with the client using the temporary session. Other methods may further include transmitting a request to a user corresponding to whether to terminate one or more previous sessions and transferring session data from a previously existing session to a current session. Corresponding systems are also described.,301,92,,
7953889,PC,"Citrix Systems, Inc.",39030600,Transport Layer Connection/Client Agent,8/3/2006,2006,11/3/2028,Systems and methods for routing vpn traffic around network disruption,Methods for using a client agent to route client requests among a plurality of appliances using transport layer information include the steps of: establishing by a client agent executing on a client a first transport layer connection with a first appliance of a plurality of appliances the first appliance providing access to one or more servers; establishing by a client agent executing on the client a second transport layer connection with a second appliance of a plurality of appliances the second appliance providing access to one or more servers; intercepting by the client agent a packet transmitted by the client; selecting by the client agent one of the connections to transmit the intercepted packet based on a characteristic of at least one of: the transport layer connections the plurality of appliances or the servers; and transmitting the intercepted packet via the selected connection.,183,92,,
8074028,PC,"Citrix Systems, Inc.",39763831,Other Topics,3/12/2007,2007,9/6/2028,Systems and methods of providing a multi-tier cache,The present solution provides a multi-tiered caching and cache indexing system is depicted. A cache management system uses a memory based object index to reference or identify corresponding objects stored in disk. The memory used to index object may grow proportionally or in relation to growth in the size of the disk. The techniques described herein minimize reduce or maintain the size of memory for an object index although the size of storage for storing objects is changed. These techniques allow for more optimal use of memory for object indexing while increasing or decreasing disk size for object storage.,282,92,,
7788536,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments|Software Application/State Metrics|Software Application/Data Values,12/21/2004,2004,6/30/2029,Automated detection of problems in software application deployments,A system for monitoring and analyzing the operation of a deployment of a software application is disclosed. The system includes a monitoring component a repository that stores a plurality of rules and an analysis engine. The monitoring component collects data values of each of a plurality of state metrics associated with the deployment of the software application. At least some of the rules in the repository map respective combinations of states associated with the state metrics to corresponding problems. The analysis engine programmatically detects instances of said problems at least in-part by using the rules to analyze the state metric data values collected by the monitoring component. The rules can also include remedies associated with the detected problems and the system may include remedy selection and execution modules.,293,92,,
7783985,PC,"Citrix Systems, Inc.",38135884,Computing Devices/Computing Environment|Computing Devices/Viewer Computing|Remote Access/Viewer Computing|Local Computing/Computing Environment|Local Computing/Network Connection,1/4/2006,2006,10/1/2026,Systems and methods for transferring data between computing devices,Systems and methods for extending the drag-and-drop data transfer mechanism to the remote access environment are described. The extension allows the end-user to select data located on the remote host or the local viewer drag the selected data to a window on the host or viewer and drop the selected data in the window. In response the data is transferred via a network connecting the viewer and the host without any further input from the end-user.,279,92,,
8918488,PC,"Citrix Systems, Inc.",41820735,Computing Devices/Computing Environment|Computing Devices/Virtualization Environment,2/4/2009,2009,10/14/2031,Methods and systems for automated management of virtual resources in a cloud computing environment,A system for automated management of virtual resources in a cloud computing environment includes a host computing device communication component and a storage system communication component. The storage system communication component is executed by a storage delivery management service communicates with a storage system adapter in a storage area network to identify a storage system in a storage area network and directs the automated provisioning of a virtual storage resource on the identified storage system the storage system providing resources for provisioning the virtual drive. The host computing device communication component receives a request for access by a host computing device to the virtual storage resource and responds to the host computing device with an identification of a network port of the identified storage system and an identification of the provisioned virtual storage resource.,244,92,,
7996549,PC,"Citrix Systems, Inc.",38005130,Data Packets/Data Streams|Data Packets/Packet Engine|Data Packets/Intercepting,1/14/2005,2005,8/21/2028,Methods and systems for recording and real-time playback of presentation layer protocol data,A method for recording and real-time playback of presentation layer protocol data includes the step of intercepting by a recorder a presentation layer protocol data stream comprising a plurality of packets during transmission of the presentation layer protocol data stream from a first device to a second device the presentation layer protocol data stream representing display data. A distributor transmits a copy of at least one packet of the presentation layer protocol data stream. A protocol engine uses information associated with the at least one copied packet to regenerate the display data represented by the at least one copied packet. The steps of intercepting the presentation layer protocol data stream and of transmitting the copy of the at least one packet repeat until the first device completes transmission of the protocol data stream to the second device.,282,92,,
8151323,PC,"Citrix Systems, Inc.",38595542,Remote Access/Resource Provided|Remote Access/Client Devices|Remote Access/Access Rights|Private Networks/VPN User|Private Networks/Level of Access,4/12/2006,2006,6/22/2029,Systems and methods for providing levels of access and action control via an ssl vpn appliance,The present invention relates to systems and methods to identify a level of access for a resource being accessed via a secure socket layer virtual private network (SSL VPN) connection to a network and to control the action on the resource based on the identified level of access. The appliance described herein provides intelligent secure access and action control to resources based on a sense and respond mechanism. When a user requests access to a resource via the SSL VPN connection of the appliance the appliance obtains information about the client to determine the user access scenariothe location device connection and identify of the user or client. Based on the collected information the appliance responds to the detected user scenario by identifying a level of access to the resource for the user/client such as rights to view print edit or save a document Based on the identified level of access the appliance controls the actions performs on the resource by various techniques described herein so that the user can only perform the allowed action n accordance with the level of access. As such the present invention allows organization to control and provide the appropriate level of access to valuable confidential or business critical information accessed remotely or via a pubic network while protecting such information by controlling the types of actions performed or allowed to be performed remotely on the information.,176,92,,
7768543,PC,"Citrix Systems, Inc.",38335664,Other Topics,3/9/2006,2006,4/28/2029,System and method for dynamically altering videoconference bit rates and layout based on participant activity,Systems and Methods to transmit and simultaneously display all video streams in a video conference by dynamically adapting video streams based on audio volume of the participants include allocating an amount of bandwidth to a participant in a videoconference; determining a level of activity exhibited by the participant during the videoconference and changing the amount of bandwidth allocated to the participant responsive to the determined level of activity. In another aspect a method for displaying video streams includes creating a graphical representation of a participant in a videoconference; displaying the created graphical representation; determining a level of activity exhibited by the participant during the videoconference; and altering the displayed graphical representation of the participant responsive to the determined level of activity.,129,92,,
7954150,PC,"Citrix Systems, Inc.",40572801,Virtual Server/Client Machine|Virtual Machine/Computing Environment|Virtual Machine/Client Agent,1/24/2006,2006,8/28/2029,Methods and systems for assigning access control levels in providing access to resources via virtual machines,A system for granting access to resources includes a client machine a collection agent a policy engine and a broker server. The client machine requests access to a resource. The collection agent gathers information about the client machine. The policy engine receives the gathered information and assigns one of a plurality of levels of access responsive to application of a policy to the received information. The broker server establishes responsive to the assigned level of access a connection between the client machine and a computing environment providing the requested resource the computing environment provided by a virtual machine.,440,92,,
8255570,PC,"Citrix Systems, Inc.",39763892,Compression History,3/12/2007,2007,2/23/2029,Systems and methods of compression history expiration and synchronization,Systems and methods of storing previously transmitted data and using it to reduce bandwidth usage and accelerate future communications are described. By using algorithms to identify long compression history matches a network device may improve compression efficiently and speed. A network device may also use application specific parsing to improve the length and number of compression history matches. Further by sharing compression histories compression history indexes and caches across multiple devices devices can utilize data previously transmitted to other devices to compress network traffic. Any combination of the systems and methods may be used to efficiently find long matches to stored data synchronize the storage of previously sent data and share previously sent data among one or more other devices.,243,92,,
8131825,PC,"Citrix Systems, Inc.",37912022,Remote Access/Local Machine|Remote Access/Remote File|Remote Machine/Remote Application|Remote Machine/Remote File,10/7/2005,2005,10/18/2028,Method and a system for responding locally to requests for file metadata associated with files stored remotely,A method and system for responding locally to requests for file metadata associated with files stored remotely includes a method of responding locally to requests for file metadata without downloading the file from a remote location. A directory structure representing an application program stored by a remote machine and metadata associated with each file comprising the stored application program are received from the remote machine. The directory and the metadata are stored. At least one request to access metadata associated with a specific tile in the directory structure is received. The stored metadata is used to respond to the at least one request.,262,92,,
7870153,PC,"Citrix Systems, Inc.",40572801,Virtual Machine/Computing Environment|Remote Access/Remote File|Remote Machine/Computing Environment|Remote Machine/Remote Application|Remote Machine/Remote File|Remote Machine/Step of Requesting|Remote Machine/Response to a Determination,1/24/2006,2006,1/27/2028,"Methods and systems for executing, by a virtual machine, an application program requested by a client machine",A method for executing by a virtual machine an application program requested by a client machine includes the step of receiving a file including access information for accessing a plurality of application files and for executing a first client capable of receiving an application stream. An identification of the plurality of application files is retrieved responsive to the received file. At least one characteristic required for execution of the plurality of application files is retrieved responsive to the file. A determination is made as to whether a client machine includes the at least one characteristic. A second client is executed responsive to a determination that the client machine lacks the at least one characteristic the second client requesting execution of the plurality of application files on a remote machine comprising a virtual machine providing a computing environment having the at least one characteristic.,227,92,,
7346842,PC,"Citrix Systems, Inc.",39182358,Client Node/Network Communication|Client Node/Portions of the Page|Client Node/Transmitting the same Data to more than One|Transmitted Page,11/2/2000,2000,7/30/2024,Methods and apparatus for incorporating a partial page on a client,The invention relates to a method and apparatus for regenerating portions of the page that have changed and transmitting only those portions to the client for display. Executing only the necessary parts of the page generation code and transmitting only changes to the client improves the efficiency of using the resources of the network communication channel the client node and the server node. Performing these operations only when required when the data has changed improves the efficiency of use even further. The invention also takes advantage of any portions of the page that are already on the client by reusing them and thus eliminates the need to regenerate or transmit those reusable portions.In one aspect the invention relates to a method for incorporating a partial page into a transmitted page displayed on a client. The method includes displaying the transmitted page on a client receiving by the client a regenerated portion of the transmitted page from a server and incorporating by the client the regenerated portion into the transmitted page displayed on the client. In one embodiment the method includes receiving by the client a modification list from the server instructing the client on the incorporation of the regenerated page portion into the transmitted page. In another embodiment the method includes receiving by the client additional code instructing the client on how to interpret commands contained in the modification list.,121,92,,
7865589,PC,"Citrix Systems, Inc.",39762555,Data Packets/Data Streams|Data Packets/Data Structures|Data Packets/Payload Portion,3/12/2007,2007,2/14/2029,Systems and methods for providing structured policy expressions to represent unstructured data in a network appliance,Systems and methods for configuring and evaluating policies that direct processing of one or more data streams are described. A configuration interface is described for allowing users to specify object oriented policies. These object oriented policies may allow any data structures to be applied with respect to a payload of a received packet stream including any portions of HTTP traffic. A configuration interface may also allow the user to control the order in which policies and policy groups are executed in addition to specifying actions to be taken if one or more policies are undefined. Systems and methods for processing the policies may allow efficient processing of object-oriented policies by applying potentially complex data structures to unstructured data streams. A device may also interpret and process a number of flow control commands and policy group invocation statements to determine an order of execution among a number of policies and policy groups. These policy configurations and processing may allow configuration and processing of complex network behaviors relating to load balancing VPNs SSL offloading content switching application security acceleration and caching.,109,92,,
8095940,PC,"Citrix Systems, Inc.",37885424,Other Topics,9/19/2005,2005,2/21/2029,Method and system for locating and accessing resources,In a method for accessing resources provided by an operating system a request for a resource is received by an application program executing inside an environment. A first identifier associated with the resource is acquired. A registry is consulted responsive to an association between a first identifier associated with the resource and a second identifier associated with the resource the association associated with the environment. The resource and an environment on which to launch the resource are identified responsive to consulting the registry. The second identifier is associated with the resource with the environment and with the environment on which to launch the resource. A registry key for the resource is stored in the registry the registry key comprising the second identifier. The request for the resource is redirected to the identified instance of the resource responsive to the second identifier. The request for the resource is responded to using the instance of the resource located in the environment on which the resource resides. The requested resource is launched in the identified environment responsive to the second identifier.,201,92,,
8341270,PC,"Citrix Systems, Inc.",40572801,Virtual Machine/Computing Environment|Virtual Machine/Hypervisor,1/24/2006,2006,2/28/2030,Methods and systems for providing access to a computing environment,A method for providing access to a computing environment includes the step of receiving by a broker machine a request from a client machine for access to a computing environment the request including an identification of a user of the client machine. One of a plurality of virtual machines is identified the identified virtual machine providing the requested computing environment. One of a plurality of execution machines is identified the identified execution machine executing a hypervisor providing access to hardware resources required by the identified virtual machine. A connection is established between the client machine and the identified virtual machine.,316,92,,
7853678,PC,"Citrix Systems, Inc.",39762539,Data Packets/Data Streams|Data Packets/Data Structures|Data Packets/Payload Portion,3/12/2007,2007,1/11/2029,Systems and methods for configuring flow control of policy expressions,Systems and methods for configuring and evaluating policies that direct processing of one or more data streams are described. A configuration interface is described for allowing users to specify object oriented policies. These object oriented policies may allow any data structures to be applied with respect to a payload of a received packet stream including any portions of HTTP traffic. A configuration interface may also allow the user to control the order in which policies and policy groups are executed in addition to specifying actions to be taken if one or more policies are undefined. Systems and methods for processing the policies may allow efficient processing of object-oriented policies by applying potentially complex data structures to unstructured data streams. A device may also interpret and process a number of flow control commands and policy group invocation statements to determine an order of execution among a number of policies and policy groups. These policy configurations and processing may allow configuration and processing of complex network behaviors relating to load balancing VPNs SSL offloading content switching application security acceleration and caching.,123,92,,
7853679,PC,"Citrix Systems, Inc.",39762558,Data Packets/Data Streams|Data Packets/Data Structures|Data Packets/Payload Portion,3/12/2007,2007,1/9/2029,Systems and methods for configuring handling of undefined policy events,Systems and methods for configuring and evaluating policies that direct processing of one or more data streams are described. A configuration interface is described for allowing users to specify object oriented policies. These object oriented policies may allow any data structures to be applied with respect to a payload of a received packet stream including any portions of HTTP traffic. A configuration interface may also allow the user to control the order in which policies and policy groups are executed in addition to specifying actions to be taken if one or more policies are undefined. Systems and methods for processing the policies may allow efficient processing of object-oriented policies by applying potentially complex data structures to unstructured data streams. A device may also interpret and process a number of flow control commands and policy group invocation statements to determine an order of execution among a number of policies and policy groups. These policy configurations and processing may allow configuration and processing of complex network behaviors relating to load balancing VPNs SSL offloading content switching application security acceleration and caching.,94,92,,
8170975,PC,"Citrix Systems, Inc.",40342941,Software Application/Software Application Deployments,12/21/2004,2004,3/12/2028,Encoded software management rules having free logical variables for input pattern matching and output binding substitutions to supply information to remedies for problems detected using the rules,A rule stored in a tangible computer-readable memory is adapted to be programmatically applied by a computer to automatically detect occurrences of a particular problem in a deployment of a software application. The rule comprises a plurality of atomic gates and a plurality of operator gates. The atomic gates have predicates for detecting occurrences of a plurality of conditions in the software application deployment. The operator gates are configured to detect predefined logical combinations of outputs of the atomic gates to generate a rule output that indicates whether the problem is currently detected in the deployment. The rule contains a plurality of free logical variables which can be assigned values. The free logical variables are configured for use in input pattern matching and output binding substitutions to supply information to a remedy for the problem. Each substitution comprises an assignment of a value to a variable.,157,92,,
7809818,PC,"Citrix Systems, Inc.",39763833,Intermediary Devices/Network Traffic|IP Address/Network Traffic|IP Address/Cases the Present,3/12/2007,2007,5/24/2029,Systems and method of using http head command for prefetching,The present solution provides a variety of techniques for accelerating and optimizing network traffic such as HTTP based network traffic. The solution described herein provides techniques in the areas of proxy caching protocol acceleration domain name resolution acceleration as well as compression improvements. In some cases the present solution provides various prefetching and/or prefreshening techniques to improve intermediary or proxy caching such as HTTP proxy caching. In other cases the present solution provides techniques for accelerating a protocol by improving the efficiency of obtaining and servicing data from an originating server to server to clients. In another cases the present solution accelerates domain name resolution more quickly. As every HTTP access starts with a URL that includes a hostname that must be resolved via domain name resolution into an IP address the present solution helps accelerate HTTP access. In some cases the present solution improves compression techniques by prefetching non-cacheable and cacheable content to use for compressing network traffic such as HTTP. The acceleration and optimization techniques described herein may be deployed on the client as a client agent or as part of a browser as well as on any type and form of intermediary device such as an appliance proxying device or any type of interception caching and/or proxying device.,104,92,,
